Height cm (H),Width cm (W),Ratio (H/W),Lower Angle (L),Upper Angle (U),Ratio(L/U),"Internal Angle (Right,2nd)",Ratio(L/I),Leave Model
13.6,8.7,1.563218391,120,100,1.2,45,2.666666667,2
13.6,8.8,1.545454545,110,120,0.916666667,40,2.75,2
12,7.7,1.558441558,130,90,1.444444444,45,2.888888889,2
13.5,8.4,1.607142857,110,100,1.1,40,2.75,2
12.2,6.7,1.820895522,120,90,1.333333333,40,3,2
13.3,7.7,1.727272727,130,80,1.625,40,3.25,2
13.5,7.7,1.753246753,130,100,1.3,40,3.25,2
12.9,7.2,1.791666667,110,110,1,40,2.75,2
10.9,6.8,1.602941176,120,110,1.090909091,40,3,2
11.4,6.7,1.701492537,100,100,1,40,2.5,2
10.1,6.9,1.463768116,120,110,1.090909091,40,3,2
12.2,7.7,1.584415584,110,100,1.1,40,2.75,2
12.4,8.2,1.512195122,120,90,1.333333333,40,3,2
11.1,7.8,1.423076923,130,100,1.3,45,2.888888889,2
11.5,6.8,1.691176471,100,100,1,35,2.857142857,2
10.5,6.7,1.567164179,100,110,0.909090909,45,2.222222222,2
15.6,9.5,1.642105263,110,100,1.1,40,2.75,2
